,Date,daynight_category,temp
2464,2013-11-03,day,7.301923076923078
2465,2013-11-03,night,7.233333333333332
2466,2013-11-04,day,6.484615384615385
2467,2013-11-04,night,6.404545454545455
2468,2013-11-05,day,7.221153846153849
2469,2013-11-05,night,6.968181818181815
2470,2013-11-06,day,7.373076923076923
2471,2013-11-06,night,7.334090909090907
2472,2013-11-07,day,7.963461538461544
2473,2013-11-07,night,7.7499999999999964
2474,2013-11-08,day,7.667307692307691
2475,2013-11-08,night,7.581818181818181
2476,2013-11-09,day,6.540384615384615
2477,2013-11-09,night,6.9340909090909095
2478,2013-11-10,day,7.559615384615382
2479,2013-11-10,night,7.395454545454547
2480,2013-11-11,day,7.982692307692304
2481,2013-11-11,night,7.86590909090909
2482,2013-11-12,day,8.309615384615382
2483,2013-11-12,night,8.013636363636358
2484,2013-11-13,day,8.621153846153847
2485,2013-11-13,night,8.361363636363636
2486,2013-11-14,day,8.140384615384615
2487,2013-11-14,night,7.875000000000001
2488,2013-11-15,day,6.926923076923075
2489,2013-11-15,night,6.945454545454544
2490,2013-11-16,day,6.242307692307696
2491,2013-11-16,night,6.229545454545455
2492,2013-11-17,day,6.5307692307692315
2493,2013-11-17,night,6.493181818181818
2494,2013-11-18,day,7.7153846153846155
2495,2013-11-18,night,7.556818181818187
2496,2013-11-19,day,7.671153846153849
2497,2013-11-19,night,7.436363636363637
2498,2013-11-20,day,5.048076923076924
2499,2013-11-20,night,5.1863636363636365
2500,2013-11-21,day,3.3288461538461527
2501,2013-11-21,night,3.3318181818181825
2502,2013-11-22,day,2.9807692307692295
2503,2013-11-22,night,2.884090909090907
2504,2013-11-23,day,3.482692307692307
2505,2013-11-23,night,3.3022727272727264
2506,2013-11-24,day,3.8749999999999996
2507,2013-11-24,night,3.7318181818181837
2508,2013-11-25,day,4.311538461538462
2509,2013-11-25,night,4.047727272727269
2510,2013-11-26,day,4.248076923076924
2511,2013-11-26,night,4.286363636363636
2512,2013-11-27,day,5.251923076923077
2513,2013-11-27,night,4.852272727272728
2514,2013-11-28,day,4.732692307692309
2515,2013-11-28,night,4.447727272727274
2516,2013-11-29,day,4.868000000000002
2517,2013-11-29,night,4.693181818181821
2518,2013-11-30,day,6.153846153846154
2519,2013-11-30,night,5.993181818181816
2520,2013-12-01,day,7.403846153846154
2521,2013-12-01,night,6.888636363636365
2522,2013-12-02,day,6.009615384615382
2523,2013-12-02,night,5.968181818181819
2524,2013-12-03,day,4.924999999999998
2525,2013-12-03,night,4.73409090909091
2526,2013-12-04,day,3.8961538461538465
2527,2013-12-04,night,3.531818181818183
2528,2013-12-05,day,2.3173076923076916
2529,2013-12-05,night,2.0363636363636366
2530,2013-12-06,day,1.2807692307692307
2531,2013-12-06,night,0.8
2532,2013-12-07,day,0.14807692307692305
2533,2013-12-07,night,0.002272727272727273
2534,2013-12-08,day,0.17884615384615393
2535,2013-12-08,night,0.022727272727272728
2536,2013-12-09,day,0.2923076923076924
2537,2013-12-09,night,0.4090909090909091
2538,2013-12-10,day,1.651923076923077
2539,2013-12-10,night,1.4431818181818183
2540,2013-12-11,day,2.284615384615384
2541,2013-12-11,night,2.1204545454545456
2542,2013-12-12,day,2.517307692307693
2543,2013-12-12,night,2.5727272727272728
2544,2013-12-13,day,4.240384615384613
2545,2013-12-13,night,3.949999999999999
2546,2013-12-14,day,4.511538461538465
