,species,brood_year,first_release_date,last_release_date,release_location_code,hatchery_location_code,release_stage,release_strategy,release_location_name,hatchery_location_name,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown,tag_loss_rate,tag_loss_days,tag_loss_sample_size,species_name,total,prop_untagged_unclipped,age
468,6,2011,2012-04-14,2012-04-14,3F10806  180028 R,,E,,HURD CR      18.0028,,0,0,33647,0,0,,,,pink,33647,0.0,0
821,6,2011,2012-04-14,2012-04-14,3F10806  180028 R,,E,,HURD CR      18.0028,,0,0,33647,0,0,,,,pink,33647,0.0,0
1080,6,2011,2012-04-14,2012-04-14,3F10806  180028 R,,E,,HURD CR      18.0028,,0,0,36274,0,0,,,,pink,36274,0.0,0
356,2,2011,2012-05-01,2012-05-30,3F10806  180018 R,3F10806  18     H,,,DUNGENESS R  18.0018,DUNGENESS R AUDUBON,0,0,0,300,0,,,,coho,300,1.0,0
1112,3,2011,2012-05-16,2012-05-16,3F10806  180018AR,3F10806  180018 H,S,MX,DUNGENESS T 18.0018A,DUNGENESS HATCHERY,0,0,10515,485,0,,,,steelhead,11000,0.04409090909090909,0
884,2,2010,2012-05-16,2012-05-21,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,540509,5736,0,,,,coho,546245,0.010500782615859183,1
849,1,2011,2012-06-10,2012-06-18,3F10806  180048 R,3F10806  180048 H,,MX,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,0,0,4203,0,,,,chinook,4203,1.0,0
580,1,2011,2012-06-10,2012-06-18,3F10806  180048 R,3F10806  180048 H,,MX,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,56083,0,112,0,0.002,,490.0,chinook,56195,0.0019930598807723107,0
127,1,2011,2012-06-10,2012-06-10,3F10806  180018 R,3F10806  180018 H01,,FR,DUNGENESS R  18.0018,UPR DUNGENESS ACC PD,0,53786,0,484,0,0.0089,,1118.0,chinook,54270,0.008918371107425833,0
424,1,2011,2012-06-15,2012-06-17,3F10806  180018 R,3F10806  180018 H,,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,54104,0,327,0,0.006,,500.0,chinook,54431,0.0060076059598390625,0
720,1,2011,2013-04-04,2013-04-04,3F10806  180028 R,3F10806  180028 H,Y,FR,HURD CR      18.0028,HURD CR HATCHERY,0,51985,0,276,0,0.0067,,566.0,chinook,52261,0.005281184822334054,1
64,2,2012,2013-04-13,2013-04-13,3F10806  180018 R,3F10609  1773094E,,FR,DUNGENESS R  18.0018,SALISH COAST ELEMENTARY,0,0,0,200,0,,,,coho,200,1.0,0
353,2,2011,2013-05-15,2013-05-22,3F10806  180018 R,3F10806  180018 H,Y,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,484550,4450,0,,,,coho,489000,0.009100204498977506,1
420,3,2012,2013-05-15,2013-05-22,3F10806  180018 R,3F10806  180018 H,S,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,11224,376,0,,,,steelhead,11600,0.032413793103448274,0
425,1,2012,2013-06-06,2013-06-12,3F10806  180048 R,3F10806  180048 H,,MX,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,48693,0,3207,0,0.0618,,502.0,chinook,51900,0.061791907514450864,0
930,1,2012,2013-06-06,2013-06-10,3F10806  180018 R,3F10806  180018 H,,MX,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,51340,0,310,0,0.006,,500.0,chinook,51650,0.006001936108422072,0
588,1,2012,2013-06-06,2013-06-06,3F10806  180018 R,3F10806  180018 H01,,FR,DUNGENESS R  18.0018,UPR DUNGENESS ACC PD,0,48898,0,1202,0,0.024,,1000.0,chinook,50100,0.02399201596806387,0
357,1,2012,2014-03-22,2014-03-22,3F10806  180028 R,3F10806  180028 H,Y,FR,HURD CR      18.0028,HURD CR HATCHERY,0,50087,0,913,0,0.0179,,502.0,chinook,51000,0.017901960784313727,1
326,2,2013,2014-04-10,2014-04-10,3F10806  180018 R,3F10609  1773094E,,FR,DUNGENESS R  18.0018,SALISH COAST ELEMENTARY,0,0,0,290,0,,,,coho,290,1.0,0
149,2,2012,2014-05-16,2014-05-29,3F10806  180018 R,3F10806  180018 H,Y,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,538107,5435,0,,,,coho,543542,0.009999227290623356,1
407,2,2013,2014-05-27,2014-05-30,3F10806  180018 R,3F10806  18     H,,FR,DUNGENESS R  18.0018,DUNGENESS R AUDUBON,0,0,0,300,0,,,,coho,300,1.0,0
1008,1,2013,2014-06-17,2014-06-17,3F10806  180018 R,3F10806  180018 H,,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,4968,0,10,0,0.002,,500.0,chinook,4978,0.002008838891120932,0
1033,1,2013,2014-06-18,2014-06-18,3F10806  180018 R,3F10806  180018 H01,,FR,DUNGENESS R  18.0018,UPR DUNGENESS ACC PD,0,52949,0,1977,0,0.036000000000000004,,500.0,chinook,54926,0.03599388267851291,0
913,1,2013,2014-06-18,2014-06-21,3F10806  180048 R,3F10806  180048 H,,VO,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,52865,0,1635,0,0.03,,500.0,chinook,54500,0.03,0
1074,1,2013,2014-06-18,2014-06-18,3F10806  180018 R,3F10806  180018 H,,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,55888,0,112,0,0.002,,500.0,chinook,56000,0.002,0
573,2,2014,2015-05-01,2015-05-01,3F10806  180018 R,3F10609  1773094E,,FR,DUNGENESS R  18.0018,SALISH COAST ELEMENTARY,0,0,0,250,0,,,,coho,250,1.0,0
726,2,2013,2015-05-16,2015-05-16,3F10806  180018 R,3F10806  180018 H,Y,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,345439,4656,0,,,,coho,350095,0.013299247347148631,1
999,2,2014,2015-06-01,2015-06-04,3F10806  180018 R,3F10806  18     H,,FR,DUNGENESS R  18.0018,DUNGENESS R AUDUBON,0,0,0,250,0,,,,coho,250,1.0,0
13,1,2014,2015-06-01,2015-06-08,3F10806  180048 R,3F10806  180048 H,,VO,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,48009,0,6275,0,0.1156,,623.0,chinook,54284,0.11559575565544175,0
879,1,2014,2015-06-08,2015-06-08,3F10806  180018 R,3F10806  180018 H01,,FR,DUNGENESS R  18.0018,UPR DUNGENESS ACC PD,0,47031,0,3318,0,0.0659,,1062.0,chinook,50349,0.06590001787523089,0
1075,1,2014,2015-06-08,2015-06-13,3F10806  180028 R,3F10806  180028 H,,MX,HURD CR      18.0028,HURD CR HATCHERY,0,23303,0,281,0,0.0119,,253.0,chinook,23584,0.011914857530529172,0
1122,2,2015,2016-04-01,2016-04-01,3F10806  180018 R,3F10806  1878316E,,,DUNGENESS R  18.0018,FIVE ACRE SCHOOL (SEQUIM),0,0,0,98,0,,,,coho,98,1.0,0
769,3,2015,2016-05-01,2016-05-07,3F10806  180018 R,3F10806  180018 H,S,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,10487,63,0,,,,steelhead,10550,0.005971563981042654,0
782,2,2014,2016-05-16,2016-06-06,3F10806  180018 R,3F10806  180018 H,Y,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,547559,3305,0,,,,coho,550864,0.005999665979261669,1
343,2,2015,2016-05-23,2016-05-23,3F10806  180028 R,3F10806  1878317E,,FR,HURD CR      18.0028,MT VIEW CHRISTIAN (SEQUIM,0,0,0,250,0,,,,coho,250,1.0,0
570,2,2015,2016-06-01,2016-06-08,3F10806  180018 R,3F10806  18     H,,,DUNGENESS R  18.0018,DUNGENESS R AUDUBON,0,0,0,300,0,,,,coho,300,1.0,0
1072,1,2015,2016-06-06,2016-06-21,3F10806  180048 R,3F10806  180048 H,,VO,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,49375,0,2381,0,0.046,,500.0,chinook,51756,0.04600432800061829,0
428,1,2015,2016-06-07,2016-06-16,3F10806  180028 R,3F10806  180028 H,,MX,HURD CR      18.0028,HURD CR HATCHERY,0,50353,0,1643,0,0.0316,,506.0,chinook,51996,0.0315985845065005,0
587,1,2015,2016-06-09,2016-06-09,3F10806  180018 R,3F10806  180018 H01,,FR,DUNGENESS R  18.0018,UPR DUNGENESS ACC PD,0,50065,0,4472,0,0.08199999999999999,,500.0,chinook,54537,0.08199937657003502,0
766,1,2015,2016-06-09,2016-06-09,3F10806  180018 R,3F10806  180018 H,,FR,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,47500,0,2453,0,0.0491,,509.0,chinook,49953,0.04910615979020279,0
697,2,2015,2016-06-27,2016-06-27,3F10806  180018 R,3F10806  180028 H,G,FR,DUNGENESS R  18.0018,HURD CR HATCHERY,0,0,0,2000,0,,,,coho,2000,1.0,0
89,2,2016,2017-03-01,2017-03-01,3F10806  180018 R,3F10806  1878316E,,,DUNGENESS R  18.0018,FIVE ACRE SCHOOL (SEQUIM),0,0,0,88,0,,,,coho,88,1.0,0
584,1,2015,2017-04-04,2017-04-10,3F10806  180028 R,3F10806  180028 H,Y,FR,HURD CR      18.0028,HURD CR HATCHERY,0,46785,0,2215,0,0.0452,,531.0,chinook,49000,0.04520408163265306,1
522,3,2016,2017-05-01,2017-05-10,3F10806  180018 R,3F10806  180018 H,S,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,10125,70,0,,,,steelhead,10195,0.006866110838646395,0
554,2,2015,2017-05-16,2017-06-01,3F10806  180018 R,3F10806  180018 H,Y,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,0,489641,981,0,,,,coho,490622,0.0019995026721182497,1
827,1,2016,2017-06-01,2017-06-01,3F10806  180018 R,3F10806  180028 H,,FR,DUNGENESS R  18.0018,HURD CR HATCHERY,0,49263,0,377,0,0.0076,,523.0,chinook,49640,0.007594681708299758,0
1048,1,2016,2017-06-01,2017-06-07,3F10806  180048 R,3F10806  180048 H,,VO,GRAY WOLF R  18.0048,GRAY WOLF R ACCL PD,0,53806,0,303,0,0.0056,,540.0,chinook,54109,0.005599807795376,0
1073,1,2016,2017-06-01,2017-06-08,3F10806  180018 R,3F10806  180018 H,,VO,DUNGENESS R  18.0018,DUNGENESS HATCHERY,0,49532,0,1073,0,0.0212,,519.0,chinook,50605,0.021203438395415473,0
590,1,2016,2017-06-01,2017-06-01,3F10806  180018 R,3F10806  180018 H01,,FR,DUNGENESS R  18.0018,UPR DUNGENESS ACC PD,0,49272,0,598,0,0.012,,500.0,chinook,49870,0.011991177060356928,0
976,2,2016,2017-06-06,2017-06-09,3F10806  180018 R,3F10806  18     H,,,DUNGENESS R  18.0018,DUNGENESS R AUDUBON,0,0,0,300,0,,,,coho,300,1.0,0
138,6,2017,2018-05-01,2018-05-01,3F10806  180028 R,,E,,HURD CR      18.0028,,0,0,0,10550,0,,,,pink,10550,1.0,0
