"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_wild_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"167",2017-04-23 08:15:00,2017-04-23 19:45:00,11.5,2017-04-23 14:00:00,2017-04-23,2017-04-23,21,0,0,1,3,0,0,25,2
"168",2017-04-23 19:45:00,2017-04-24 08:30:00,12.75,2017-04-24 02:07:30,2017-04-23,2017-04-24,135,1,4,67,193,3,3,91,1
"169",2017-04-24 08:30:00,2017-04-24 19:45:00,11.25,2017-04-24 14:07:30,2017-04-24,2017-04-24,56,0,0,0,4,1,0,42,0
"170",2017-04-24 19:45:00,2017-04-25 08:00:00,12.25,2017-04-25 01:52:30,2017-04-24,2017-04-25,2161,2,9,57,115,5,1,101,0
"171",2017-04-25 08:00:00,2017-04-25 18:00:00,10,2017-04-25 13:00:00,2017-04-25,2017-04-25,414,0,0,0,1,3,0,81,1
"172",2017-04-25 18:00:00,2017-04-26 08:30:00,14.5,2017-04-26 01:15:00,2017-04-25,2017-04-26,1152,3,1,47,100,6,0,128,0
"173",2017-04-26 08:30:00,2017-04-26 18:00:00,9.5,2017-04-26 13:15:00,2017-04-26,2017-04-26,81,0,0,12,29,1,1,98,1
"174",2017-04-27 07:20:00,2017-04-27 17:45:00,10.4166666666667,2017-04-27 12:32:30,2017-04-27,2017-04-27,45,0,0,3,2,3,0,53,1
"175",2017-04-27 17:45:00,2017-04-28 08:00:00,14.25,2017-04-28 00:52:30,2017-04-27,2017-04-28,153,2,6,59,114,3,2,60,0
"176",2017-04-28 08:00:00,2017-04-28 19:00:00,11,2017-04-28 13:30:00,2017-04-28,2017-04-28,73,0,0,5,17,0,0,75,0
"177",2017-04-28 19:00:00,2017-04-29 09:00:00,14,2017-04-29 02:00:00,2017-04-28,2017-04-29,28,5,3,48,399,1,0,65,0
"178",2017-04-29 09:00:00,2017-04-29 19:30:00,10.5,2017-04-29 14:15:00,2017-04-29,2017-04-29,23,0,0,0,8,0,0,25,0
"179",2017-04-29 19:30:00,2017-04-30 08:30:00,13,2017-04-30 02:00:00,2017-04-29,2017-04-30,109,2,14,21,186,1,0,66,0
"180",2017-04-30 08:30:00,2017-04-30 19:00:00,10.5,2017-04-30 13:45:00,2017-04-30,2017-04-30,52,0,0,0,2,0,0,66,0
"181",2017-04-30 19:00:00,2017-05-01 08:00:00,13,2017-05-01 01:30:00,2017-04-30,2017-05-01,41,1,3,28,160,0,0,55,0
"182",2017-05-01 08:00:00,2017-05-01 19:00:00,11,2017-05-01 13:30:00,2017-05-01,2017-05-01,30,0,0,0,6,0,0,32,0
"183",2017-05-01 19:00:00,2017-05-02 08:30:00,13.5,2017-05-02 01:45:00,2017-05-01,2017-05-02,20,3,5,16,143,0,0,81,0
"184",2017-05-02 08:30:00,2017-05-02 17:45:00,9.25,2017-05-02 13:07:30,2017-05-02,2017-05-02,19,0,0,0,0,1,0,33,0
"185",2017-05-02 17:45:00,2017-05-03 07:45:00,14,2017-05-03 00:45:00,2017-05-02,2017-05-03,92,4,1,23,84,0,0,46,0
"186",2017-05-03 07:45:00,2017-05-03 18:15:00,10.5,2017-05-03 13:00:00,2017-05-03,2017-05-03,50,0,0,1,1,0,0,56,0
"187",2017-05-03 18:15:00,2017-05-04 07:45:00,13.5,2017-05-04 01:00:00,2017-05-03,2017-05-04,16,10,20,32,116,0,0,66,0
"188",2017-05-04 07:45:00,2017-05-04 19:30:00,11.75,2017-05-04 13:37:30,2017-05-04,2017-05-04,59,0,0,4,9,0,0,103,0
"189",2017-05-04 19:30:00,2017-05-05 09:15:00,13.75,2017-05-05 02:22:30,2017-05-04,2017-05-05,92,18,3,18,67,8,0,1124,0
"190",2017-05-06 19:00:00,2017-05-07 08:00:00,13,2017-05-07 01:30:00,2017-05-06,2017-05-07,16,3,0,5,11,0,0,94,1
"191",2017-05-07 08:00:00,2017-05-07 19:00:00,11,2017-05-07 13:30:00,2017-05-07,2017-05-07,9,0,0,0,1,0,0,16,0
"192",2017-05-07 19:00:00,2017-05-08 08:30:00,13.5,2017-05-08 01:45:00,2017-05-07,2017-05-08,4,1,2,2,2,3,0,85,0
"193",2017-05-08 08:30:00,2017-05-08 19:30:00,11,2017-05-08 14:00:00,2017-05-08,2017-05-08,6,0,0,0,0,1,0,33,0
"194",2017-05-08 19:30:00,2017-05-09 07:30:00,12,2017-05-09 01:30:00,2017-05-08,2017-05-09,4,1,1,5,4,6,0,65,0
"195",2017-05-09 07:30:00,2017-05-09 18:00:00,10.5,2017-05-09 12:45:00,2017-05-09,2017-05-09,9,0,0,2,1,0,0,47,0
"196",2017-05-09 18:00:00,2017-05-10 07:50:00,13.8333333333333,2017-05-10 00:55:00,2017-05-09,2017-05-10,5,12,5,52,40,0,0,97,0
"197",2017-05-10 07:50:00,2017-05-10 18:00:00,10.1666666666667,2017-05-10 12:55:00,2017-05-10,2017-05-10,30,0,0,0,0,1,0,176,0
"198",2017-05-10 18:00:00,2017-05-11 07:40:00,13.6666666666667,2017-05-11 00:50:00,2017-05-10,2017-05-11,10,4,5,29,35,19,0,87,0
"199",2017-05-11 07:40:00,2017-05-11 18:45:00,11.0833333333333,2017-05-11 13:12:30,2017-05-11,2017-05-11,29,0,0,0,1,0,0,62,0
"200",2017-05-11 18:45:00,2017-05-12 08:00:00,13.25,2017-05-12 01:22:30,2017-05-11,2017-05-12,14,9,9,19,25,0,0,159,0
"201",2017-05-12 08:00:00,2017-05-12 18:20:00,10.3333333333333,2017-05-12 13:10:00,2017-05-12,2017-05-12,17,0,0,0,0,0,0,57,0
"202",2017-05-12 18:20:00,2017-05-13 08:00:00,13.6666666666667,2017-05-13 01:10:00,2017-05-12,2017-05-13,466,17,10,20,20,1,0,150,0
"203",2017-05-13 08:00:00,2017-05-13 21:00:00,13,2017-05-13 14:30:00,2017-05-13,2017-05-13,20,0,0,3,0,1,0,78,0
"204",2017-05-13 21:00:00,2017-05-14 09:30:00,12.5,2017-05-14 03:15:00,2017-05-13,2017-05-14,99,12,17,27,36,2,0,133,0
"205",2017-05-14 09:30:00,2017-05-14 19:00:00,9.5,2017-05-14 14:15:00,2017-05-14,2017-05-14,33,0,0,0,0,0,0,101,0
