"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"125",2021-04-08 08:30:00,2021-04-08 19:30:00,11,2021-04-08 14:00:00,2021-04-08,2021-04-08,210,0,0,0,0,4,0,4,0
"126",2021-04-08 19:30:00,2021-04-09 08:15:00,12.75,2021-04-09 01:52:30,2021-04-08,2021-04-09,1312,0,1,0,0,7,7,10,0
"127",2021-04-09 08:15:00,2021-04-09 19:30:00,11.25,2021-04-09 13:52:30,2021-04-09,2021-04-09,16,0,0,0,0,1,0,0,0
"128",2021-04-09 19:30:00,2021-04-10 08:00:00,12.5,2021-04-10 01:45:00,2021-04-09,2021-04-10,504,0,0,0,0,4,9,4,0
"129",2021-04-10 08:00:00,2021-04-10 19:00:00,11,2021-04-10 13:30:00,2021-04-10,2021-04-10,317,0,0,0,0,2,0,1,0
"130",2021-04-10 19:00:00,2021-04-11 08:30:00,13.5,2021-04-11 01:45:00,2021-04-10,2021-04-11,2054,0,2,0,0,13,9,40,0
"131",2021-04-11 08:30:00,2021-04-11 19:00:00,10.5,2021-04-11 13:45:00,2021-04-11,2021-04-11,172,0,0,0,0,1,0,2,0
"132",2021-04-11 19:00:00,2021-04-12 08:15:00,13.25,2021-04-12 01:37:30,2021-04-11,2021-04-12,860,0,0,0,0,14,0,21,0
"133",2021-04-12 08:15:00,2021-04-12 19:20:00,11.0833333333333,2021-04-12 13:47:30,2021-04-12,2021-04-12,362,0,0,0,0,3,0,1,0
"134",2021-04-12 19:20:00,2021-04-13 08:30:00,13.1666666666667,2021-04-13 01:55:00,2021-04-12,2021-04-13,1749,0,0,0,0,21,3,19,0
"135",2021-04-13 08:30:00,2021-04-13 19:30:00,11,2021-04-13 14:00:00,2021-04-13,2021-04-13,343,0,0,0,0,0,0,0,0
"136",2021-04-13 19:30:00,2021-04-14 08:45:00,13.25,2021-04-14 02:07:30,2021-04-13,2021-04-14,2174,0,0,0,0,11,4,18,0
"137",2021-04-14 08:45:00,2021-04-14 19:30:00,10.75,2021-04-14 14:07:30,2021-04-14,2021-04-14,210,0,0,0,0,0,0,0,0
"138",2021-04-14 19:30:00,2021-04-15 08:30:00,13,2021-04-15 02:00:00,2021-04-14,2021-04-15,1200,0,0,0,0,13,0,9,0
