"","start_datetime","end_datetime","In","midpoint","StartDate","EndDate","pink0_wild_num","chum0_mixed_num","steelheadsmolt_wild_num","steelheadsmolt_hatchery_num","coho1_mixed_num","coho1_hatchery_num","coho0_wild_num","chinook1_wild_num","chinook1_hatchery_num","chinook0_wild_num","chinook0_hatchery_num"
"83",2022-03-12 07:00:00,2022-03-12 17:10:00,10.1666666666667,2022-03-12 12:05:00,2022-03-12,2022-03-12,269,90,0,0,0,0,0,0,0,3,0
"84",2022-03-12 17:10:00,2022-03-13 07:50:00,13.6666666666667,2022-03-13 00:00:00,2022-03-12,2022-03-13,2726,361,0,0,5,0,0,0,0,1,0
"85",2022-03-13 07:50:00,2022-03-13 18:00:00,10.1666666666667,2022-03-13 12:55:00,2022-03-13,2022-03-13,180,41,0,0,1,0,0,0,0,2,0
"86",2022-03-13 18:00:00,2022-03-14 07:10:00,13.1666666666667,2022-03-14 00:35:00,2022-03-13,2022-03-14,2706,185,0,0,0,0,0,0,0,6,0
"87",2022-03-14 07:10:00,2022-03-14 18:00:00,10.8333333333333,2022-03-14 12:35:00,2022-03-14,2022-03-14,323,51,0,0,0,0,0,0,0,1,1
"88",2022-03-14 18:00:00,2022-03-15 07:15:00,13.25,2022-03-15 00:37:30,2022-03-14,2022-03-15,624,91,0,0,8,0,0,0,0,4,0
"89",2022-03-15 07:15:00,2022-03-15 18:00:00,10.75,2022-03-15 12:37:30,2022-03-15,2022-03-15,482,159,0,0,0,0,0,0,0,3,0
"90",2022-03-15 18:00:00,2022-03-16 08:20:00,14.3333333333333,2022-03-16 01:10:00,2022-03-15,2022-03-16,742,113,0,0,3,0,1,0,0,3,0
"91",2022-03-16 08:20:00,2022-03-16 17:55:00,9.58333333333333,2022-03-16 13:07:30,2022-03-16,2022-03-16,733,163,0,0,0,0,0,0,0,7,0
"92",2022-03-16 17:55:00,2022-03-17 08:10:00,14.25,2022-03-17 01:02:30,2022-03-16,2022-03-17,956,310,0,0,4,0,0,0,0,4,0
