"","StartDate","EndDate","StartTime","EndTime","chinook0_wild_num","chinook0_hatchery_num","chinook1_wild_num","chum0_wild_num","coho0_wild_num","coho1_wild_num","coho1_hatchery_num","steelheadsmolt_wild_num","sockeye0_wild_num","sockeye1_wild_num","pink0_wild_num","start_datetime","end_datetime","In","midpoint"
"84",2015-04-07,2015-04-08,1899-12-30 20:30:00,1899-12-30 07:30:00,8,0,0,1630,0,0,6,1,0,1,0,2015-04-07 20:30:00,2015-04-08 07:30:00,11,2015-04-08 02:00:00
"85",2015-04-08,2015-04-09,1899-12-30 20:30:00,1899-12-30 07:30:00,15,0,0,1730,0,6,0,2,0,0,0,2015-04-08 20:30:00,2015-04-09 07:30:00,11,2015-04-09 02:00:00
"86",2015-04-09,2015-04-09,1899-12-30 08:00:00,1899-12-30 20:15:00,0,0,2,430,0,0,0,0,0,0,0,2015-04-09 08:00:00,2015-04-09 20:15:00,12.25,2015-04-09 14:07:30
"87",2015-04-09,2015-04-10,1899-12-30 20:30:00,1899-12-30 07:30:00,18,0,0,820,1,8,0,2,0,0,0,2015-04-09 20:30:00,2015-04-10 07:30:00,11,2015-04-10 02:00:00
"88",2015-04-10,2015-04-11,1899-12-30 20:30:00,1899-12-30 07:30:00,23,0,2,1760,3,14,0,1,0,0,0,2015-04-10 20:30:00,2015-04-11 07:30:00,11,2015-04-11 02:00:00
"89",2015-04-11,2015-04-12,1899-12-30 20:30:00,1899-12-30 07:30:00,33,0,1,840,0,14,0,1,0,0,0,2015-04-11 20:30:00,2015-04-12 07:30:00,11,2015-04-12 02:00:00
"90",2015-04-12,2015-04-12,1899-12-30 08:00:00,1899-12-30 20:00:00,22,0,0,2790,0,0,0,0,0,0,0,2015-04-12 08:00:00,2015-04-12 20:00:00,12,2015-04-12 14:00:00
"91",2015-04-12,2015-04-13,1899-12-30 20:30:00,1899-12-30 07:30:00,27,0,0,1020,4,15,0,3,0,0,0,2015-04-12 20:30:00,2015-04-13 07:30:00,11,2015-04-13 02:00:00
"92",2015-04-13,2015-04-14,1899-12-30 20:30:00,1899-12-30 07:30:00,34,0,0,1890,16,6,0,1,2,0,0,2015-04-13 20:30:00,2015-04-14 07:30:00,11,2015-04-14 02:00:00
"93",2015-04-14,2015-04-15,1899-12-30 20:30:00,1899-12-30 07:30:00,22,0,1,1400,0,16,0,3,0,0,0,2015-04-14 20:30:00,2015-04-15 07:30:00,11,2015-04-15 02:00:00
